,surprise,fear,sad,disgust,happy,angry,neural
2018-06-29-08:58:57,0,0,0,0,0,1,0
2018-06-29-08:58:58,0,0,0,0,0,1,0
2018-06-29-08:59:01,0,0,0,0,0,1,0
2018-06-29-08:59:02,0,0,0,0,0,1,0
2018-06-29-08:59:03,0,0,0,0,0,1,0
2018-06-29-08:59:04,0,0,0,0,0,1,0
2018-06-29-08:59:05,0,0,0,0,0,1,0
2018-06-29-08:59:06,0,0,0,0,0,1,0
2018-06-29-08:59:07,0,0,0,0,0,1,0
2018-06-29-08:59:08,0,0,0,0,0,1,0
2018-06-29-08:59:09,0,0,0,0,0,1,0
2018-06-29-08:59:10,0,0,0,0,0,1,0
2018-06-29-08:59:11,0,0,0,0,0,1,0
2018-06-29-08:59:13,0,0,0,0,0,1,0
2018-06-29-08:59:14,0,0,0,0,0,1,0
2018-06-29-08:59:15,0,0,0,0,0,1,0
2018-06-29-08:59:16,0,0,0,0,0,1,0
2018-06-29-08:59:18,0,0,0,0,0,1,0
2018-06-29-08:59:27,0,0,0,0,0,1,0
2018-06-29-08:59:28,0,0,0,0,0,1,0
2018-06-29-08:59:29,0,0,0,0,0,0.75,0.25
2018-06-29-08:59:30,0,0,0,0,0,0,1
2018-06-29-08:59:31,0,0,0,0,0,1,0
2018-06-29-08:59:32,0,0,0,0,0,1,0
2018-06-29-08:59:33,0,0,0,0,0,0.4,0.6
2018-06-29-08:59:34,0,0,0,0,0,0,1
2018-06-29-08:59:35,0,0,0,0,0,0,1
2018-06-29-08:59:36,0,0,0,0,0,0,1
2018-06-29-08:59:37,0,0,0,0,0,0,1
2018-06-29-08:59:38,0,0,0,0,0,0,1
2018-06-29-08:59:39,0,0,0,0,0,0,1
2018-06-29-08:59:40,0,0,0,0,0,0,1
2018-06-29-08:59:41,0,0,0,0,0,0,1
2018-06-29-08:59:42,0,0,0,0,0,0,1
2018-06-29-08:59:43,0,0,0,0,0,0,1
2018-06-29-08:59:44,0,0,0,0,0,0,1
2018-06-29-08:59:45,0,0,0,0,0,0,1
2018-06-29-08:59:46,0,0,0,0,0,1,0
2018-06-29-08:59:47,0,0,0,0,0,1,0
2018-06-29-08:59:48,0,0,0,0,0,0,1
2018-06-29-08:59:49,0,0,0,0,0,0,1
2018-06-29-08:59:50,0,0,0,0,0,0,1
