name,time,emotion,emotion_vector
lora,2018-06-30-16:30:53,happy,"[0, 0, 0, 0, 1, 0]"
lora,2018-06-30-16:30:53,happy,"[0, 0, 0, 0, 1, 0]"
lora,2018-06-30-16:30:53,happy,"[0, 0, 0, 0, 1, 0]"
lora,2018-06-30-16:30:53,happy,"[0, 0, 0, 0, 1, 0]"
lora,2018-06-30-16:30:53,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:54,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:54,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:54,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:54,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:54,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:54,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:54,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:54,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:55,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:55,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:55,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:55,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:55,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:55,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:55,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:55,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:56,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:56,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:56,angry,"[0, 0, 0, 0, 0, 1]"
lora,2018-06-30-16:30:56,angry,"[0, 0, 0, 0, 0, 1]"
