V0,V-1,V-2,V-3,I0,ID0,dd-1,dd-2,dd-3,dv-1,dv-2,dv-3,dID-1,dID-2,dID-3,tag
-1.518,-2.53,-2.3402,-2.5932,11.465,188.1,-0.28142,0.016704,-0.0128,0.01012,-0.0018975,0.0013316,0.28737,0.0080025,-0.067285,8
-1.3915,-1.518,-2.53,-2.3402,12.06,188.43,0.22451,-0.28142,0.016704,0.001265,0.01012,-0.0018975,0.0032886,0.28737,0.0080025,8
-2.7197,-1.3915,-1.518,-2.53,11.548,135.33,0.0008087,0.22451,-0.28142,-0.0045801,0.001265,0.01012,-0.18312,0.0032886,0.28737,8
-1.3915,-2.7197,-1.3915,-1.518,12.185,180.87,0.00086483,0.0008087,0.22451,0.0044274,-0.0045801,0.001265,0.15182,-0.18312,0.0032886,8
-2.4667,-1.4547,-1.4547,-1.3915,12.353,115.8,-0.01811,0.044579,0.054892,-0.01012,0,-0.00012908,-0.50929,-0.050222,-0.012656,8
-1.3282,-2.4667,-1.4547,-1.4547,12.079,160.43,0.0072276,-0.01811,0.044579,0.011385,-0.01012,0,0.4462,-0.50929,-0.050222,8
-1.518,-1.3915,-2.0872,-2.4667,12.487,146.34,0.029173,-0.023713,0.094684,-0.001265,0.0023991,0.0037949,-0.022886,0.20426,0.028245,8
-1.3915,-2.1505,-2.0872,-2.4667,13.139,133.45,0.025601,0.0062456,-0.0053319,0.0075899,-0.00063248,0.0018975,0.81023,0.02037,-0.051462,8
-1.7077,-1.5812,-1.4547,-1.5812,12.467,116.88,0.037442,-0.016609,0.054834,-0.001265,-0.0004362,0.001265,-0.0068023,-0.028427,0.86983,8
-1.771,-1.7077,-1.5812,-1.4547,12.583,108.14,-0.00087182,0.037442,-0.016609,-0.00012908,-0.001265,-0.0004362,-0.017847,-0.0068023,-0.028427,8
-1.518,-1.771,-1.7077,-1.5812,12.567,108,-0.056459,-0.00087182,0.037442,0.00253,-0.00012908,-0.001265,-0.0013919,-0.017847,-0.0068023,8
-1.8342,-1.518,-1.771,-1.7077,12.73,99.451,-0.006437,-0.056459,-0.00087182,-0.00079061,0.00253,-0.00012908,-0.021368,-0.0013919,-0.017847,8
-1.4547,-1.8342,-1.518,-1.771,13.3,103.91,0.025693,-0.006437,-0.056459,0.0037949,-0.00079061,0.00253,0.044564,-0.021368,-0.0013919,8
-1.518,-1.4547,-1.8342,-1.518,12.858,90.406,-0.0085668,0.025693,-0.006437,-0.00033289,0.0037949,-0.00079061,-0.071057,0.044564,-0.021368,8
-1.6445,-1.518,-1.4547,-1.8342,13.015,91.511,0.020781,-0.0085668,0.025693,-0.001265,-0.00033289,0.0037949,0.011052,-0.071057,0.044564,8
-1.8342,-1.6445,-1.518,-1.4547,12.799,89.994,0.010826,0.020781,-0.0085668,-0.0018975,-0.001265,-0.00033289,-0.015176,0.011052,-0.071057,8
-0.063249,-0.063249,-0.1265,-0.063249,13.877,32.523,0.073891,-0.039984,0.0057252,0,0.00063249,-0.00031624,-0.015066,0.021224,-0.0047454,8
-0.063249,-0.063249,-0.063249,-0.1265,14.498,33.981,-0.025903,0.073891,-0.039984,0,0,0.00063249,0.0072865,-0.015066,0.021224,8
-0.1265,-0.063249,-0.063249,-0.063249,14.228,33.347,0.0037327,-0.025903,0.073891,-0.00070276,0,0,-0.0070354,0.0072865,-0.015066,8
-0.1265,-0.1265,-0.063249,-0.063249,13.682,32.068,0.014295,0.0037327,-0.025903,0,-0.00070276,0,-0.0063981,-0.0070354,0.0072865,8
8.0768,-0.1265,-0.1265,-0.063249,13.773,32.28,-0.013189,0.014295,0.0037327,0.082032,0,-0.00070276,0.0021212,-0.0063981,-0.0070354,8
8.0768,8.0768,-0.1265,-0.1265,13.12,30.75,-0.019289,-0.013189,0.014295,0,0.082032,0,-0.015301,0.0021212,-0.0063981,8
-0.1265,8.0768,8.0768,-0.1265,13.191,30.916,-2.8766E-05,-0.019289,-0.013189,-0.0016309,0,0.082032,3.3113E-05,-0.015301,0.0021212,8
